,ex_name,symbol,ave_price
103,okx,LDO/USDT,3.0624000000000002
104,okx,TRA/USDT,1.2045
105,okx,MATIC/BTC,5.4919999999999996e-05
106,okx,BTM/BTC,1.266e-06
107,okx,YFI/USDC,9694.5
108,okx,AAVE/USDC,81.07
109,okx,XLM/ETH,5.4800000000000004e-05
110,okx,NMR/USDT,19.375
111,okx,UTK/USDT,0.1199
112,okx,TON/USDT,2.4515000000000002
113,okx,DOGE/USDC,0.08146
114,okx,KOL/USDT,0.003705
115,okx,TRB/USDC,18.295
116,okx,CHAT/USDT,0.0057405
117,okx,AAVE/USDT,81.095
118,okx,TCT/USDT,0.0020350000000000004
119,okx,COMP/BTC,0.002212
120,okx,LON/USDT,0.6275
121,okx,API3/ETH,0.000976
122,okx,TRB/USDT,18.28
123,okx,THETA/BTC,5.14e-05
124,okx,MATIC/USDT,1.2777500000000002
125,okx,SWEAT/USDT,0.01116305
126,okx,DOGE/USDT,0.08144499999999999
127,okx,YFII/USDT,1339.65
128,okx,SOL/USDC,22.8565
129,okx,BICO/USDC,0.49
130,okx,ANW/USDT,0.007455
131,okx,SWFTC/USDC,0.0013425
132,okx,YOU/USDT,0.0018609999999999998
133,okx,UMEE/USDT,0.00885
134,okx,BICO/USDT,0.49
135,okx,SAITAMA/USDC,0.0024635
136,okx,MATIC/USDC,1.2784499999999999
137,okx,LUNC/BTC,6.949999999999999e-09
138,okx,XRP/USDT,0.37764
139,okx,ENS/USDT,15.805
140,okx,LPT/USDT,7.595
141,okx,BNB/USDT,304.03
142,okx,CHZ/BTC,5.7825e-06
143,okx,XEM/BTC,1.775e-06
144,okx,TAI/USDT,0.21975
145,okx,SAITAMA/USDT,0.0024595
146,okx,EDEN/USDT,0.07865
147,okx,PRQ/USDT,0.14295000000000002
148,okx,ENS/USDC,15.825
149,okx,SPELL/USDT,0.0008445
150,okx,NMR/USDC,19.369999999999997
151,okx,OKDOT2/DOT,0.73655
152,okx,OMI/USDT,0.0010365
153,okx,BNB/USDC,304.015
154,okx,TOWN/USDT,0.030475000000000002
155,okx,CRV/USDT,1.0074999999999998
156,okx,ZEN/BTC,0.0005365
157,okx,EGLD/USDT,48.765
158,okx,WBTC/USDT,23265.300000000003
159,okx,DOSE/USDT,0.008055
160,okx,PLG/USDT,0.0006215
161,okx,POR/USDT,1.10525
162,okx,BORA/USDT,0.2095
163,okx,AST/USDT,0.11305000000000001
164,okx,CRV/USDC,1.0059999999999998
165,okx,LINK/ETH,0.004605
166,okx,HC/USDT,0.11785
167,okx,NEO/USDT,12.43
168,okx,SD/USDT,1.2848000000000002
169,okx,RNT/USDT,0.0019060000000000001
170,okx,HC/BTC,5.045e-06
171,okx,YOU/BTC,8.019999999999999e-08
172,okx,BNT/USDT,0.47495
173,okx,MANA/ETH,0.00040725
174,okx,EOS/USDC,1.1163500000000002
175,okx,MRST/USDT,0.017025
176,okx,DCR/BTC,0.001025
177,okx,CHZ/USDT,0.13448500000000002
178,okx,USDC/USDT,0.99985
179,okx,DOT/USDT,6.6005
180,okx,MILO/USDT,1.796e-08
181,okx,GRT/USDC,0.1565
182,okx,WXT/USDT,0.004615
183,okx,INT/ETH,2.1599999999999996e-06
184,okx,XAUT/USDT,1813.25
185,okx,NAS/USDT,0.03615
186,okx,POLYDOGE/USDT,1.2840000000000001e-08
187,okx,MRST/USDC,0.01701
188,okx,MINA/USDT,0.9464999999999999
189,okx,EOS/USDT,1.1165
190,okx,DOT/USDC,6.599
191,okx,GMX/USDT,73.95
192,okx,LOOKS/USDC,0.1883
193,okx,GRT/USDT,0.15645
194,okx,SHIB/BTC,5.385e-10
195,okx,PHA/USDT,0.1694
196,okx,YGG/USDC,0.31525000000000003
197,okx,SKL/USDT,0.048549999999999996
198,okx,KSM/BTC,0.00168
199,okx,BHP/USDT,0.18
200,okx,MINA/USDC,0.9484999999999999
201,okx,MXT/USDT,0.0013035
202,okx,GMX/USDC,74.005
203,okx,POLS/USDT,0.5335000000000001
204,okx,FSN/USDT,0.34835
205,okx,WNCG/USDT,0.16195
206,okx,IOST/USDT,0.011485
207,okx,FAME/USDT,0.002765
208,okx,VSYS/BTC,1.2804999999999999e-07
209,okx,EGT/USDT,0.0004215
210,okx,STRK/USDT,15.945
211,okx,HBAR/USDC,0.0752
212,okx,Unitrade/USDT,0.0699
213,okx,LAMB/USDT,0.0023360000000000004
214,okx,CEL/USDC,0.502
215,okx,CHZ/USDC,0.13449
216,okx,LTC/USDC,94.105
217,okx,BTC/USDC,23250.05
218,okx,SFG/USDT,0.06105
219,okx,CFG/USDT,0.32389999999999997
220,okx,IOST/USDC,0.011484999999999999
221,okx,CEL/USDT,0.50255
222,okx,PIT/USDT,5.91e-10
223,okx,BTC/USDT,23248.05
224,okx,BNT/BTC,2.0450000000000002e-05
225,okx,DNA/USDT,0.00017375
226,okx,WOO/USDT,0.21925
227,okx,RACA/USDT,0.00022225
228,okx,CONV/USDT,0.0010904999999999999
229,okx,AVAX/BTC,0.0007825
230,okx,BTC/USDK,23193.4
231,okx,ARG/USDT,1.36765
232,okx,CVP/USDT,0.538
233,okx,SIS/USDT,0.09815
234,okx,CMT/USDT,0.002685
235,okx,ILV/USDT,75.05
236,okx,APE/USDT,5.11855
237,okx,ZBC/USDT,0.016884999999999997
238,okx,REVV/USDT,0.01528
239,okx,ENS/BTC,0.00067965
240,okx,METIS/USDT,33.95
241,okx,KCAL/USDC,0.5044
242,okx,UNI/USDC,6.5495
243,okx,LOOKS/USDT,0.1881
244,okx,ABT/USDT,0.14705000000000001
245,okx,APE/USDC,5.118399999999999
246,okx,ATOM/BTC,0.0005564000000000001
247,okx,ADA/USDC,0.36424999999999996
248,okx,ANT/BTC,0.00012175
249,okx,LBA/USDT,0.0018405000000000001
250,okx,CRV/ETH,0.000626
251,okx,GHST/USDT,1.536
252,okx,WAVES/BTC,0.0001105
253,okx,KCAL/USDT,0.4693
254,okx,RACA/USDC,0.00022245
255,okx,ADA/USDT,0.36424999999999996
