,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
1835,52.0,WAVESWaves,WAVES,"$1,858,900,542.99",$17.63,"105,424,144 WAVES *","$265,710,111.97",-0.08%,10.46%,16.18%,20210620
1836,146.0,SXPSwipe,SXP,"$209,886,543.78",$2.2051,"95,181,302 SXP *","$186,014,385.67",-0.74%,6.20%,14.94%,20210620
1837,267.0,POLSPolkastarter,POLS,"$111,257,832.61",$1.5864,"70,133,982 POLS *","$60,584,744.28",4.59%,15.03%,14.28%,20210620
1838,368.0,MASKMask Network,MASK,"$67,444,111.22",$5.2581,"12,826,666 MASK *","$79,967,067.15",-1.26%,-15.80%,13.77%,20210620
1839,32.0,SHIBSHIBA INU,SHIB,"$3,078,391,264.63",$0.0000078,"394,796,000,000,000 SHIB *","$644,943,958.52",-0.78%,2.30%,13.56%,20210620
1840,180.0,DATAStreamr,DATA,"$162,706,867.12",$0.1844,"882,250,679 DATA *","$239,353,330.97",1.75%,1.83%,131.81%,20210613
1841,442.0,GTOGifto,GTO,"$52,182,399.04",$0.06775,"770,236,879 GTO *","$93,522,164.75",1.85%,13.48%,46.26%,20210613
1842,202.0,HEXHEX,HEX,"$14,745,797,093.14",$0.08503,"173,411,074,413 HEX","$46,074,743.40",1.47%,4.01%,42.47%,20210613
1843,487.0,SOCAll Sports,SOC,"$41,867,603.15",$0.02791,"1,500,000,000 SOC *","$74,480,761.33",-4.79%,-23.31%,35.99%,20210613
1844,44.0,AMPAmp,AMP,"$2,539,912,314.35",$0.06015,"42,227,702,186 AMP","$27,283,342.41",-0.14%,1.74%,32.01%,20210613
1845,412.0,FIOFIO Protocol,FIO,"$58,522,387.79",$0.2417,"242,103,163 FIO *","$50,351,265.19",4.80%,27.75%,28.47%,20210613
1846,312.0,BIFIBeefy.Finance,BIFI,"$98,600,007.81","$1,369.44","72,000 BIFI *","$10,699,305.39",2.05%,24.07%,28.14%,20210613
1847,38.0,TFUELTheta Fuel,TFUEL,"$3,005,733,928.74",$0.567,"5,301,214,400 TFUEL *","$352,319,220.00",1.88%,34.24%,22.92%,20210613
1848,574.0,NEBLNeblio,NEBL,"$30,675,161.67",$1.7463,"17,565,422 NEBL *","$12,547,387.05",1.25%,-16.34%,22.10%,20210613
1849,638.0,COCOSCocos-BCX,COCOS,"$25,326,676.79",$0.6028,"42,015,868 COCOS *","$16,394,817.94",0.60%,11.77%,20.31%,20210613
1850,122.0,WOOWootrade,WOO,"$352,634,335.87",$0.9373,"376,235,705 WOO *","$53,356,674.41",-1.21%,8.10%,19.93%,20210613
1851,449.0,KEYSelfkey,KEY,"$52,061,298.24",$0.01129,"4,613,195,381 KEY *","$38,204,246.39",0.75%,32.12%,19.79%,20210613
1852,439.0,HARDHARD Protocol,HARD,"$53,455,904.51",$0.8385,"63,750,000 HARD *","$28,207,960.48",1.97%,4.89%,17.34%,20210613
1853,107.0,BCDBitcoin Diamond,BCD,"$563,074,616.68",$3.0193,"186,492,898 BCD","$27,688,055.88",-0.02%,3.13%,15.85%,20210613
1854,371.0,LTOLTO Network,LTO,"$73,932,135.10",$0.2616,"282,666,222 LTO *","$19,611,222.53",0.68%,17.75%,10.79%,20210613
1855,1.0,BTCBitcoin,BTC,"$732,465,659,891.77","$39,097.86","18,734,162 BTC","$40,669,112,837.87",0.61%,9.97%,9.02%,20210613
1856,39.0,BTCBBitcoin BEP2,BTCB,"$2,853,400,013.82","$39,025.69","73,116 BTCB *","$55,044,444.80",0.23%,9.71%,8.87%,20210613
