Symbol,Num,Max,Mean,Std
1INCH/OMG,0,1.0251968503937008,1.0012902091204126,0.0014120178269585075
1INCH/ONE,0,1,1,0
1INCH/ONG,0,1,1,0
1INCH/ONT,3,1.0414893617021277,1.0036372054773004,0.002867848873339843
1INCH/OP,0,1,1,0
1INCH/ORN,0,1,1,0
1INCH/OSMO,0,1,1,0
1INCH/OXT,0,1,1,0
1INCH/PAXG,0,1,1,0
1INCH/PEOPLE,2,1.0344407934769382,1.0047801411038024,0.004087082156865515
1INCH/PERP,0,1,1,0
1INCH/PHA,4,1.0515021459227467,1.003071413304096,0.0026378163781233216
1INCH/PHB,0,1,1,0
1INCH/PIVX,0,1,1,0
1INCH/PLA,0,1,1,0
1INCH/POLS,0,1,1,0
1INCH/POLYX,0,1,1,0
1INCH/POND,0,1,1,0
1INCH/PORTO,0,1,1,0
1INCH/POWR,0,1,1,0
1INCH/PROM,0,1,1,0
1INCH/PSG,0,1,1,0
1INCH/PST,0,1,1,0
1INCH/PYR,0,1,1,0
1INCH/QI,0,1,1,0
1INCH/QKC,0,1,1,0
1INCH/QLC,0,1,1,0
1INCH/QNT,0,1,1,0
1INCH/QTUM,0,1.0173267326732676,1.0012566676836918,0.0011967631812748103
1INCH/QUICK,0,1,1,0
1INCH/RAD,0,1,1,0
1INCH/RARE,0,1,1,0
1INCH/REN,2,1.041237113402062,1.0019003599271115,0.002177516661069759
1INCH/REQ,0,1,1,0
1INCH/RIF,0,1,1,0
1INCH/RLC,0,1,1,0
1INCH/RNDR,0,1,1,0
1INCH/ROSE,0,1,1,0
1INCH/RPL,0,1,1,0
1INCH/RSR,0,1,1,0
1INCH/RUNE,0,1,1,0
1INCH/RVN,0,1.0271028037383176,1.0037188739577012,0.002575425639369014
1INCH/SAND,0,1,1,0
1INCH/SANTOS,0,1,1,0
1INCH/SC,0,1,1,0
1INCH/SCRT,0,1,1,0
1INCH/SFP,0,1,1,0
1INCH/SHIB,0,1,1,0
1INCH/SKL,0,1,1,0
1INCH/SNM,0,1,1,0
1INCH/SNT,0,1.026615969581749,1.003945667638412,0.002775675963268263
1INCH/SNX,1,1.0325702139870734,1.0035942253932708,0.0018896450464715641
1INCH/SOL,0,1.0128052479259115,1.0023615962527264,0.0011778422932136603
1INCH/SRM,0,1,1,0
1INCH/SSV,0,1,1,0
1INCH/STEEM,0,1,1,0
1INCH/STG,0,1,1,0
1INCH/STMX,0,1,1,0
1INCH/STORJ,0,1,1,0
1INCH/STPT,0,1,1,0
1INCH/STRAX,0,1,1,0
1INCH/STX,18,1.1792673421667967,1.0029991918872305,0.006885089136454704
1INCH/SUPER,0,1,1,0
1INCH/SUSHI,0,1.0261779745063775,1.0030554709552404,0.0014348350146317784
1INCH/SWFTC,0,1,1,0
1INCH/SXP,0,1,1,0
1INCH/SYS,0,1,1,0
1INCH/TAMA,0,1,1,0
1INCH/TFUEL,0,1,1,0
1INCH/THETA,0,1.0126582278481013,1.0011883579905985,0.0013179570019271802
1INCH/TKO,0,1,1,0
1INCH/TLM,0,1,1,0
1INCH/TOMO,0,1,1,0
1INCH/TRB,0,1,1,0
1INCH/TRU,0,1,1,0
1INCH/TRUE,0,1,1,0
1INCH/TRX,0,1.0179472831277858,1.0031674473822347,0.0012070844698451571
1INCH/TRY,0,1,1,0
1INCH/TVK,0,1,1,0
1INCH/TWT,0,1,1,0
1INCH/UMA,0,1,1,0
1INCH/UNFI,0,1,1,0
1INCH/UNI,0,1.012222527969257,1.002532745670375,0.0010322799362224855
1INCH/USD,0,1.0110788940092166,1.0011050801169932,0.0010058059570184625
1INCH/USDC,0,1.012232171451678,1.0008794494571924,0.0007703056357157879
1INCH/USDT,0,1.0102318134019588,1.0013998113650555,0.0008022656839570544
1INCH/USTC,0,1,1,0
1INCH/UTK,0,1,1,0
1INCH/VET,0,1,1,0
1INCH/VIB,0,1,1,0
1INCH/VIDT,0,1,1,0
1INCH/VITE,0,1,1,0
1INCH/VOXEL,0,1,1,0
1INCH/VSYS,0,1,1,0
1INCH/WABI,0,1,1,0
1INCH/WAN,0,1,1,0
1INCH/WAVES,1,1.0330708661417323,1.0035313114023328,0.002830967098722921
1INCH/WAXP,0,1,1,0
1INCH/WBTC,0,1,1,0
1INCH/WING,0,1,1,0
1INCH/WOO,0,1,1,0
1INCH/WRX,0,1,1,0
1INCH/WTC,0,1,1,0
1INCH/WXT,0,1,1,0
1INCH/XCH,0,1,1,0
1INCH/XEM,0,1,1,0
1INCH/XLM,0,1.0197089046089496,1.0033019262209562,0.0011816789778933323
1INCH/XMR,0,1.0140254533293385,1.0026807750761098,0.0010175436416552577
1INCH/XNO,0,1,1,0
1INCH/XRP,0,1.0054607508532423,1.0003676998825872,0.000409214712513912
1INCH/XTZ,1,1.0308669836696285,1.0034898274965216,0.0015310246583599303
1INCH/XVS,0,1,1,0
1INCH/YFI,0,1.0230486681909832,1.0019336779085144,0.0016808635783864007
1INCH/YGG,0,1,1,0
1INCH/YOU,0,1,1,0
1INCH/ZEC,3,1.0390863830902262,1.0033989500937486,0.0014295872250456082
1INCH/ZEN,0,1.017977528089888,1.001543723971286,0.001645443295085068
1INCH/ZIL,0,1.0190476190476192,1.0037134883542833,0.0025169260015422456
1INCH/ZRX,2,1.0457516339869282,1.0048855196503839,0.002556551507110849
AAVE/1INCH,0,1.01303074670571,1.0027535324535661,0.0010580797497009883
AAVE/AAVE,0,1.0173503603712981,1.0015111176129785,0.0008413400303867584
AAVE/ACA,0,1.0086378737541528,1.0004363684675575,0.0003779843307642306
AAVE/ACH,0,1.0086378737541528,1.0004363684675575,0.0003779843307642315
AAVE/ACM,0,1.0086378737541528,1.0004363684675575,0.0003779843307642307
AAVE/ADA,3,1.0409734980466687,1.0033700679840618,0.001567932714152547
AAVE/ADX,0,1.0124032637047575,1.0013969430091036,0.0009537735732738912
AAVE/AERGO,0,1.0086378737541528,1.0004363684675575,0.0003779843307642297
AAVE/AGIX,0,1.0086378737541528,1.0004363684675575,0.00037798433076423067
AAVE/AGLD,0,1.0086378737541528,1.0004363684675575,0.0003779843307642325
AAVE/ALCX,0,1.0086378737541528,1.0004363684675575,0.00037798433076423023
AAVE/ALGO,0,1.0271918083711502,1.0059067782111313,0.0028414168437711157
AAVE/ALICE,0,1.0086378737541528,1.0004363684675575,0.00037798433076423164
AAVE/ALPACA,0,1.0086378737541528,1.0004363684675575,0.0003779843307642317
AAVE/ALPHA,29,2.1322037569645844,1.0076718179502429,0.029829448486719822
AAVE/ALPINE,0,1.0086378737541528,1.0004363684675575,0.00037798433076423083
AAVE/AMB,0,1.0086378737541528,1.0004363684675575,0.00037798433076423034
AAVE/AMP,0,1.0086378737541528,1.0004363684675575,0.00037798433076422996
AAVE/ANKR,0,1.008637873754153,1.0004363684675575,0.00037798433076423197
AAVE/ANT,0,1.018235667803943,1.0018361949029895,0.0014726896867133135
AAVE/APE,0,1.015475306099627,1.0019129236688997,0.0011645207375119647
AAVE/API3,2,1.0367302384587065,1.00263631220339,0.0020160500719375394
AAVE/APT,0,1.016702686632019,1.0021618348897594,0.0016225659654638775
AAVE/AR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423023
AAVE/ARDR,0,1.0086378737541528,1.0004363684675575,0.00037798433076422985
AAVE/ARPA,5,1.0399297672024943,1.0047646522584743,0.00401681757370443
AAVE/AST,0,1.0086378737541528,1.0004363684675575,0.00037798433076423007
AAVE/ASTR,0,1.008637873754153,1.0004363684675575,0.0003779843307642306
AAVE/ATA,0,1.008637873754153,1.0004363684675575,0.000377984330764231
AAVE/ATM,0,1.0086378737541528,1.0004363684675575,0.00037798433076423083
AAVE/ATOM,0,1.0117690769799483,1.0029760744461749,0.0012040105775222762
AAVE/AUCTION,0,1.0086378737541528,1.0004363684675575,0.00037798433076422964
AAVE/AUD,0,1.0086378737541528,1.0012337799453035,0.0007961588320848316
AAVE/AUDIO,0,1.0086378737541528,1.0004363684675575,0.00037798433076422996
AAVE/AVA,0,1.0086378737541528,1.0004363684675575,0.00037798433076423164
AAVE/AVAX,0,1.0160137208882472,1.002637692575294,0.0010678363708824658
AAVE/AXS,0,1.0163803198980121,1.0019990376236751,0.0014366388611006097
AAVE/BADGER,15,1.0653346610222816,1.0030198127373764,0.003412275957047193
AAVE/BAKE,0,1.0086378737541528,1.0004363684675575,0.00037798433076423007
AAVE/BAL,0,1.0086378737541528,1.0004363684675575,0.0003779843307642313
AAVE/BAND,0,1.0086378737541528,1.0004363684675575,0.0003779843307642312
AAVE/BAR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423045
AAVE/BAT,0,1.0209983413200308,1.0037548305297108,0.0024134578853610414
AAVE/BCD,0,1.0086378737541528,1.0004363684675575,0.00037798433076423
AAVE/BCH,0,1.0146179401993356,1.0030869690469235,0.0012037861895142984
AAVE/BEL,6,1.0443173027127595,1.0051573718754463,0.004664268545941281
AAVE/BETA,0,1.0223827859270465,1.0036348957067625,0.002795037303003491
AAVE/BETH,0,1,1,0
AAVE/BICO,0,1.0086378737541528,1.0004363684675575,0.00037798433076423197
AAVE/BIDR,0,1,1,0
AAVE/BLZ,0,1.0086378737541528,1.0004363684675575,0.00037798433076423067
AAVE/BNB,0,1.0087317477429905,1.0013576340630879,0.0007423635030942026
AAVE/BNT,3,1.0345484139865466,1.0038283862810415,0.0023644408840026282
AAVE/BOND,0,1.0086378737541528,1.0004363684675575,0.00037798433076423023
AAVE/BRL,0,1,1,0
AAVE/BSV,0,1.0086378737541528,1.0004363684675575,0.0003779843307642301
AAVE/BTC,0,1.0099290260254081,1.0021093474279157,0.0008469351533647049
AAVE/BTG,0,1.0086378737541528,1.0004363684675575,0.00037798433076422985
AAVE/BTM,0,1.0086378737541528,1.0004363684675575,0.0003779843307642315
AAVE/BUSD,0,1.0086378737541528,1.0014481925300982,0.000783680011005372
AAVE/C98,0,1.0086378737541528,1.0004363684675575,0.00037798433076423115
AAVE/CAKE,0,1.0086378737541528,1.0004363684675575,0.0003779843307642292
AAVE/CEL,0,1.0086378737541528,1.0004363684675575,0.00037798433076422915
AAVE/CELO,0,1.0209675964540854,1.0038531911566142,0.0018647260842885292
AAVE/CELR,0,1.0086378737541528,1.0004363684675575,0.0003779843307642308
AAVE/CELT,0,1.0086378737541528,1.0004363684675575,0.0003779843307642322
AAVE/CFX,0,1.0086378737541528,1.0004363684675575,0.0003779843307642308
AAVE/CHESS,0,1.0086378737541528,1.0004363684675575,0.00037798433076422974
AAVE/CHR,0,1.0171698579709347,1.002340523903029,0.0017851110530831096
AAVE/CHZ,0,1.0110040534537252,1.0013905217961394,0.0008224318653722475
AAVE/CITY,0,1.0086378737541528,1.0004363684675575,0.00037798433076423137
AAVE/CLV,0,1.0086378737541528,1.0004363684675575,0.0003779843307642294
AAVE/COMP,0,1.0235722933796148,1.0026385295757039,0.0011224954964428153
AAVE/COS,0,1.0086378737541528,1.0004363684675575,0.0003779843307642308
AAVE/COTI,0,1.0086378737541528,1.0004363684675575,0.0003779843307642303
AAVE/CQT,0,1.0086378737541528,1.0004363684675575,0.0003779843307642307
AAVE/CRV,3,1.050349181177762,1.0039233963942167,0.0016674569547660608
AAVE/CSPR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423045
AAVE/CTK,0,1.0086378737541528,1.0004363684675575,0.00037798433076422996
AAVE/CTSI,0,1.0086378737541528,1.0004363684675575,0.00037798433076423045
AAVE/CTXC,0,1.0086378737541528,1.0004363684675575,0.00037798433076423105
AAVE/CVC,0,1.0086378737541528,1.0004363684675575,0.00037798433076423094
AAVE/CVX,0,1.0086378737541528,1.0004363684675575,0.00037798433076423083
AAVE/DAI,10,1.0879460803594643,1.0011638325524366,0.003079565829412137
AAVE/DAR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423083
AAVE/DASH,0,1.025422936723058,1.002794880877344,0.0017867353336677176
AAVE/DATA,0,1.0086378737541528,1.0004363684675575,0.00037798433076423007
AAVE/DCR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423045
AAVE/DEGO,0,1.0086378737541528,1.0004363684675575,0.000377984330764231
AAVE/DENT,0,1,1,0
AAVE/DEXE,0,1,1,0
AAVE/DGB,0,1.0086378737541528,1.0004363684675575,0.0003779843307642307
AAVE/DIA,0,1.0086378737541528,1.0004363684675575,0.00037798433076423094
AAVE/DOCK,0,1.0086378737541528,1.0004363684675575,0.0003779843307642306
AAVE/DODO,0,1.0086378737541528,1.0004363684675575,0.00037798433076422964
AAVE/DOGE,0,1.0163971934248492,1.0032228397133065,0.0011173561703505565
AAVE/DOT,0,1.0141237095472633,1.0026345938791235,0.0010842126803791603
AAVE/DREP,0,1.0086378737541528,1.0004363684675575,0.0003779843307642306
AAVE/DUSK,0,1.0086378737541528,1.0004363684675575,0.0003779843307642312
AAVE/DYDX,0,1.01121921981084,1.0013143027952904,0.0008815300944035727
AAVE/EGLD,0,1.0269115154192823,1.002637069749858,0.001806753332206994
AAVE/ELF,5,1.0607573066244738,1.0044448402128476,0.0030496996136764316
AAVE/ENJ,5,1.052388436032053,1.0065581472780543,0.0032971965596953995
AAVE/ENS,0,1.0126917293233082,1.0019622114487805,0.0011971689472252546
AAVE/EOS,0,1.0184335122197592,1.0043994863099734,0.0016586185658937443
AAVE/ETC,0,1.0138099106417546,1.0032629726078863,0.001492561977746848
AAVE/ETH,0,1.0158550517518579,1.0021570920165666,0.0009825504517357367
AAVE/ETHW,0,1.0086378737541528,1.0004363684675575,0.0003779843307642323
AAVE/EUR,0,1.0086378737541528,1.001156927403925,0.0007379041511612609
AAVE/FARM,0,1.0086378737541528,1.0004363684675575,0.00037798433076422985
AAVE/FET,0,1.0086378737541528,1.0004363684675575,0.00037798433076423067
AAVE/FIDA,0,1.0086378737541528,1.0004363684675575,0.00037798433076423126
AAVE/FIL,27,1.0443540119259336,1.0091322697527234,0.006804739750688007
AAVE/FIO,0,1.0086378737541528,1.0004363684675575,0.00037798433076423115
AAVE/FIRO,0,1.0086378737541528,1.0004363684675575,0.0003779843307642291
AAVE/FIS,0,1.0086378737541528,1.0004363684675575,0.0003779843307642302
AAVE/FLM,0,1.0086378737541528,1.0004363684675575,0.00037798433076423327
AAVE/FLOW,0,1.0278858625162128,1.0062634508594346,0.0038408152165098253
AAVE/FLUX,0,1.0086378737541528,1.0004363684675575,0.00037798433076423137
AAVE/FOR,0,1.0086378737541528,1.0004363684675575,0.0003779843307642311
AAVE/FORTH,0,1.0086378737541528,1.0004363684675575,0.00037798433076423045
AAVE/FRONT,0,1.0086378737541528,1.0004363684675575,0.0003779843307642307
AAVE/FTM,0,1.0119439990131986,1.0015050691496235,0.0010847227725437752
AAVE/FUN,0,1,1,0
AAVE/FXS,0,1.0086378737541528,1.0004363684675575,0.0003779843307642304
AAVE/GAL,2,1.030819934656877,1.0041271534428335,0.003631780041020475
AAVE/GALA,0,1.0174662921348314,1.0030938373203664,0.002169200555457218
AAVE/GAS,1,1.0641418923488661,1.0038510270481056,0.0025670278280911815
AAVE/GBP,0,1.0086966716968508,1.001218656868439,0.0007842966792996535
AAVE/GHST,0,1,1,0
AAVE/GLM,0,1.0086378737541528,1.0004363684675575,0.0003779843307642293
AAVE/GLMR,0,1.0086378737541528,1.0004363684675575,0.00037798433076423023
AAVE/GMT,0,1.0086378737541528,1.0012494952450024,0.0008010550091170977
AAVE/GMX,0,1.0086378737541528,1.0004363684675575,0.00037798433076423083
AAVE/GNS,0,1.0086378737541528,1.0004363684675575,0.00037798433076422866
AAVE/GRT,0,1.023226043390919,1.0027974442202379,0.0018481065766453111
AAVE/GTC,0,1.0086378737541528,1.0004363684675575,0.0003779843307642303
AAVE/HARD,0,1.0086378737541528,1.0004363684675575,0.0003779843307642309
AAVE/HBAR,0,1.016579904256154,1.002013808982328,0.0019294805375997999
AAVE/HFT,0,1.0086378737541526,1.0004363684675575,0.00037798433076423115
AAVE/HIFI,0,1,1,0
AAVE/HIGH,0,1.0086378737541528,1.0004363684675575,0.00037798433076423007
AAVE/HIVE,0,1.0086378737541528,1.0004363684675575,0.00037798433076423105
AAVE/HOOK,0,1.0086378737541528,1.0004363684675575,0.00037798433076423067
AAVE/HOT,0,1,1,0
AAVE/ICP,0,1.0170373270895101,1.004661709941591,0.001736853217034454
AAVE/ICX,6,1.474701596933307,1.0047093168837067,0.0042901138132857815
AAVE/IDEX,0,1.0086378737541528,1.0004363684675575,0.00037798433076422974
AAVE/ILV,0,1.0086378737541528,1.0004363684675575,0.00037798433076422926
AAVE/IMX,0,1.0086378737541528,1.0004363684675575,0.0003779843307642309
AAVE/INJ,0,1.0086378737541526,1.0004363684675575,0.00037798433076422964
AAVE/INT,0,1,1,0
AAVE/IOST,13,1.034831748388749,1.0115939216393575,0.0061965102843358905
AAVE/IOTA,3,1.043973072333747,1.0051044587328948,0.0030154022832627786
AAVE/IOTX,0,1.0204842507158765,1.004420153434369,0.0028527410875418637
AAVE/IRIS,0,1.0086378737541528,1.0004363684675575,0.0003779843307642296
AAVE/JASMY,709,1.0602267065271551,1.0176322095058306,0.01079657089435436
